startdate,enddate,finished,q1,q5_1,q6,q7,q8,q9_1,q10_1,q11_1,q11_2,q12,q13_1,q13_2,q13_3,q13_4,q13_5,q14_1,q14_2,q14_3,q14_4,q16,q22_pagesubmit,q24_pagesubmit,q23_pagesubmit,q25_1,q26_1,q27_1,q28_1,q29_1
2016-06-17 19:04:16,2016-06-17 19:18:10,True,I agree,1995,Male,Single,Arab Middle Eastern or Arab American,United Arab Emirates,7,4,0,$2501-$3000,8.6,8.1,5.6,8.9,,defense ,Mitch and Harry,Antonin,yes,The Congress,,256.722,,7.1,6.7,7.2,6.1,6.2
2016-06-17 19:25:59,2016-06-17 19:35:20,True,I agree,1984,Male,Married,Prefer not to disclose,United States,8.5,3,0,$3001 and more,6,4,4.1,6,4,Secretary of Defense,Mitch McConnel,John Roberts,Republicans,The Supreme Court,164.959,,,4,5.5,6,4,3.6
2016-06-17 19:39:47,2016-06-17 19:52:01,True,I agree,1975,Female,Single,"Black, Afro-Caribbean, or African American",United States,1.9,6,0,$3001 and more,1,7.1,10,9.3,10,Defense Secretary,Mitch 'punkass' McConnell,Justice Roberts,Republicans,The Supreme Court,,,171.977,10,1,1,10,10
2016-06-17 19:48:55,2016-06-17 19:56:54,True,I agree,1995,Female,Single,Non-Hispanic White or Euro-American,United States,1.8,3,0,$0-$500,9,9,2.3,9.1,7.1,Secretary of Defense,,,Republican,The Supreme Court,,241.475,,3,6.1,7.1,4.3,3.9
2016-06-17 22:05:16,2016-06-17 22:11:24,True,I agree,1989,Male,Married,Non-Hispanic White or Euro-American,United States,4,6,0,$3001 and more,7,6.4,3.6,5.6,3.4,,,,,The Supreme Court,162.684,,,3.7,6.5,7.1,4.3,5.6
2016-06-17 22:23:11,2016-06-17 22:36:50,True,I agree,1988,Female,Single,"Black, Afro-Caribbean, or African American",United States,1.7,4,0,$3001 and more,2.7,8.6,7.6,10,10,I don't know,Mitch McConnell ,John Roberts,republican,The Congress,,,165.113,8.3,7,5,1,3.9
2016-06-18 00:03:56,2016-06-18 00:12:18,True,I agree,1995,Female,Single,Arab Middle Eastern or Arab American,United States,5,3,0,$0-$500,5,5,,7,6,,,,,The Congress,,243.386,,1,8.5,7.5,4,3.3
2016-06-18 02:53:34,2016-06-18 03:11:16,True,I agree,1997,Female,Single,Other,Guam (USA),9.1,1,0,$0-$500,8.3,10,,10,,U.S. Secretary of Defense,Mitch McConnell,John G. Robert's Junior,Republicans,The Supreme Court,651.961,,,7.1,7.7,10,2.5,4.2
2016-06-18 03:41:06,2016-06-18 04:01:54,True,I agree,1994,Male,Single,Arab Middle Eastern or Arab American,Qatar,7.1,2,2,$1001-$1500,7,8.3,7.1,10,7.6,secretary of defense,,john roberts ,no,The Supreme Court,,,175.988,3.5,9.2,4.6,5.5,4.8
2016-06-18 04:44:10,2016-06-18 04:54:22,True,I agree,1990,Male,Single,Non-Hispanic White or Euro-American,United States,6,2,0,$3001 and more,6,3,1,6,1,SecDef,Mitch Mcconnel,John Roberts,GOP,The Supreme Court,,245.121,,5,5,5,9.1,5.5
